#YY  MM DD hh WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2004 07 17 00 288  2.5  2.8  0.70  6.25  5.61 217 1016.7  14.2  13.7  13.7 99.0 99.00
2004 07 17 01 290  2.3  3.1  0.57  6.25  5.83 209 1016.2  14.1  13.6  13.8 99.0 99.00
2004 07 17 02 294  2.4  3.0  0.53  6.25  6.04 217 1015.9  14.0  13.3  13.8 99.0 99.00
2004 07 17 03 296  4.7 99.0 99.00 99.00 99.00 999 9999.0  13.4 999.0  13.0 99.0 99.00
2004 07 17 04 244  1.7 99.0 99.00 99.00 99.00 999 9999.0  12.5 999.0 999.0 99.0 99.00
2004 07 17 05 225  2.8  3.2  0.51  6.67  6.05 253 1015.7  11.6  12.6  11.0 99.0 99.00
2004 07 17 06 242  2.5  2.7  0.57  6.67  5.03 231 1015.6  11.5  12.1  10.9 99.0 99.00
2004 07 17 07 231  2.0  2.3  0.67  6.25  4.88 206 1015.5  11.2  12.0  10.6 99.0 99.00
2004 07 17 08 224  0.4  1.0  0.58  7.69  5.02 225 1015.0  11.2  12.1  10.6 99.0 99.00
2004 07 17 09 213  1.5  1.8  0.59  6.67  5.17 226 1014.6  11.0  12.0  10.4 99.0 99.00
2004 07 17 10 224  2.8  3.3  0.61  8.33  5.54 266 1014.8  10.8  11.1  10.2 99.0 99.00
2004 07 17 11 226  3.0  3.5  0.61  5.88  5.60 239 1015.0  11.1  12.1  10.5 99.0 99.00
2004 07 17 12 224  1.2  1.6  0.56  6.25  5.86 244 1014.7  11.3  12.0  10.7 99.0 99.00
2004 07 17 13 208  1.0  1.4  0.53  6.25  5.93 237 1014.8  11.5  12.0  11.0 99.0 99.00
2004 07 17 14 150  0.4  0.6  0.52  6.25  6.36 236 1014.9  11.9  12.1  11.7 99.0 99.00
2004 07 17 15  98  1.4  1.7  0.49  6.25  6.42 260 1014.7  12.2  12.2  12.0 99.0 99.00
2004 07 17 16  93  1.5  1.8  0.55  5.88  6.51 256 1014.6  12.4  12.4  12.0 99.0 99.00
2004 07 17 17  81  3.0  3.8  0.63  6.67  6.33 253 1014.5  12.3  12.3  11.8 99.0 99.00
2004 07 17 18  79  2.3  2.7  0.64  5.88  6.14 245 1013.9  12.4  12.4  12.0 99.0 99.00
2004 07 17 19  64  2.1  2.6  0.69  5.56  5.91 232 1013.4  13.1  12.7  12.7 99.0 99.00
2004 07 17 20  94  3.2  3.5  0.68  5.88  5.48 230 1013.2  13.8  12.8  13.1 99.0 99.00
2004 07 17 21  73  1.8  2.3  0.70  5.88  5.56 222 1012.9  14.1  13.1  13.3 99.0 99.00
2004 07 17 22 308  2.1  2.7  0.70  6.25  5.50 235 1012.7  14.6  13.0  13.6 99.0 99.00
2004 07 17 23 323  3.0  3.5  0.63  6.25  5.59 220 1012.6  14.8  14.4  14.2 99.0 99.00
2004 07 18 00 293  2.5  3.0  0.57  7.14  5.64 247 1012.5  15.0  14.5  14.4 99.0 99.00
2004 07 18 01 259  1.9  2.2  0.54  6.25  5.87 234 1012.3  14.7  14.0  14.2 99.0 99.00
2004 07 18 02 225  3.0  4.0  0.49 14.81  6.22 216 1012.2  14.4  13.7  14.0 99.0 99.00
2004 07 18 03 229  3.2  3.5  0.59  6.25  6.25 167 1012.3  14.2  13.2  13.9 99.0 99.00
2004 07 18 04 220  2.6  3.1  0.50  6.25  6.45 231 1012.5  14.1  12.7  13.7 99.0 99.00
2004 07 18 05 214  3.7  4.7  0.56  6.25  6.31 221 1012.9  13.8  13.0  13.3 99.0 99.00
2004 07 18 06 244  3.3  3.9  0.46 14.81  6.37 217 1013.4  13.6  12.1  13.0 99.0 99.00
2004 07 18 07 308  1.2  1.9  0.63  5.88  6.22 224 1013.6  13.6  12.2  13.0 99.0 99.00
2004 07 18 08 265  2.5  3.0  0.62  6.25  5.97 241 1013.7  13.5  12.1  13.0 99.0 99.00
2004 07 18 09 226  3.8  4.6  0.59  6.25  5.76 232 1013.8  13.2  10.7  12.7 99.0 99.00
2004 07 18 10 283  2.2  2.9  0.59  6.25  5.70 233 1014.5  14.0  10.4  13.5 99.0 99.00
2004 07 18 11 300  2.7  3.3  0.55  6.25  5.43 229 1014.4  14.3  12.3  13.7 99.0 99.00
2004 07 18 12 287  2.6  3.3  0.52  6.67  5.58 219 1014.5  14.6  12.4  14.0 99.0 99.00
2004 07 18 13 323  2.3  2.7  0.52 13.79  5.75 213 1014.5  14.4  12.3  13.7 99.0 99.00
2004 07 18 14 317  1.8  2.2  0.52  6.67  6.05 188 1014.3  15.3  12.3  14.5 99.0 99.00
2004 07 18 15 315  2.3  2.6  0.56  6.67  6.45 227 1014.5  14.5  12.6  14.0 99.0 99.00
