#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 04 04 10 50  43  4.2  5.1  0.79  6.25  5.16 282 1012.4   4.3   8.4 999.0 99.0 99.00
2020 04 04 11 20  57  4.1  5.0  0.83  6.25  5.30 276 1012.3   4.3   8.4 999.0 99.0 99.00
2020 04 04 11 50  65  3.7  4.5  0.85  6.25  5.46 280 1012.1   4.2   8.5 999.0 99.0 99.00
2020 04 04 12 20  93  2.3  4.8  0.81  6.25  5.30 280 1011.8   4.6   8.5 999.0 99.0 99.00
2020 04 04 12 50 177  1.2  2.4  0.84 14.81  5.72 265 1011.7   3.6   8.5 999.0 99.0 99.00
2020 04 04 13 20  63  0.3  1.0  0.77  5.26  5.43 278 1011.3   4.0   8.4 999.0 99.0 99.00
2020 04 04 13 50  73  3.4  4.6  0.79 14.81  5.76 250 1011.0   4.7   8.4 999.0 99.0 99.00
2020 04 04 14 20  65  3.5  4.8  0.85  7.14  5.73 277 1010.7   4.7   8.4 999.0 99.0 99.00
2020 04 04 14 50  54  3.2  4.2  0.75 14.81  5.76 238 1010.3   4.5   8.4 999.0 99.0 99.00
2020 04 04 15 20  64  3.0  4.2  0.76  7.14  5.86 275 1010.1   4.6   8.4 999.0 99.0 99.00
2020 04 04 15 50  62  3.4  4.1  0.79 14.81  6.09 256 1010.0   4.8   8.4 999.0 99.0 99.00
2020 04 04 16 20  66  2.8  3.6  0.77 14.81  6.11 243 1009.6   5.1   8.4 999.0 99.0 99.00
2020 04 04 16 50  71  4.5  5.6  0.76  6.25  5.79 287 1009.5   5.2   8.4 999.0 99.0 99.00
2020 04 04 17 20  79  4.8  5.9  0.78  7.14  5.53 271 1009.4   5.3   8.5 999.0 99.0 99.00
2020 04 04 17 50  98  4.5  5.7  0.73 12.12  5.24 259 1009.2   5.4   8.5 999.0 99.0 99.00
2020 04 04 18 20  98  4.8  6.0  0.89  6.25  5.63 269 1009.2   5.7   8.6 999.0 99.0 99.00
2020 04 04 18 50  64  5.6  6.6  0.83  6.25  5.64 278 1008.9   5.4   8.6 999.0 99.0 99.00
2020 04 04 19 20 100  5.2  6.1  0.73  5.88  5.47 275 1008.6   5.6   8.7 999.0 99.0 99.00
2020 04 04 19 50 118  4.9  5.9  0.83 16.00  5.96 230 1008.5   5.8   8.7 999.0 99.0 99.00
2020 04 04 20 20 119  3.5  4.5  0.85 14.81  6.15 253 1008.1   5.9   8.7 999.0 99.0 99.00
2020 04 04 20 50 132  4.9  6.4  0.76 16.00  6.29 241 1007.7   6.2   8.8 999.0 99.0 99.00
